iter	Passed	Remaining
0	1	1491
1	2	1473
2	4	1569
3	6	1502
4	7	1452
5	8	1417
6	9	1392
7	11	1371
8	12	1357
9	13	1342
10	14	1333
11	16	1324
12	17	1320
13	19	1356
14	20	1353
15	21	1347
16	23	1342
17	24	1334
18	25	1327
19	26	1319
20	28	1313
21	29	1308
22	30	1302
23	31	1297
24	33	1305
25	34	1308
26	36	1303
27	37	1298
28	38	1293
29	39	1289
30	41	1284
31	42	1280
32	43	1277
33	44	1273
34	46	1288
35	48	1292
36	49	1300
37	51	1295
38	52	1289
39	53	1284
40	54	1279
41	55	1275
42	57	1270
43	58	1265
44	59	1261
45	60	1257
46	61	1253
47	63	1253
48	65	1266
49	67	1283
50	69	1284
51	70	1283
52	72	1288
53	73	1284
54	74	1280
55	75	1276
56	77	1289
57	79	1291
58	81	1297
59	83	1302
60	84	1298
61	85	1294
62	86	1289
63	87	1285
64	89	1281
65	90	1277
66	92	1282
67	93	1286
68	95	1285
69	96	1280
70	97	1277
71	98	1275
72	100	1275
73	101	1272
74	102	1268
75	104	1264
76	105	1261
77	107	1265
78	108	1264
79	109	1261
80	110	1257
81	112	1254
82	113	1251
83	114	1248
84	115	1244
85	116	1240
86	117	1237
87	119	1234
88	120	1228
89	121	1227
90	123	1228
91	124	1227
92	125	1225
93	126	1221
94	127	1218
95	129	1215
96	129	1208
97	130	1201
98	131	1198
99	132	1195
100	134	1192
101	135	1189
102	136	1188
103	138	1191
104	139	1185
105	140	1182
106	141	1179
107	142	1177
108	143	1174
109	144	1172
110	146	1169
111	147	1166
112	148	1164
113	149	1162
114	150	1159
115	152	1160
116	153	1160
117	154	1158
118	156	1156
119	157	1153
120	158	1151
121	159	1148
122	160	1146
123	161	1144
124	163	1141
125	164	1139
126	165	1137
127	166	1136
128	168	1137
129	169	1135
130	170	1132
131	171	1129
132	173	1127
133	174	1125
134	175	1123
135	176	1120
136	177	1118
137	178	1116
138	179	1114
139	181	1113
140	183	1115
141	184	1114
142	185	1113
143	187	1112
144	188	1111
145	189	1107
146	190	1106
147	191	1104
148	193	1103
149	194	1100
150	195	1099
151	196	1098
152	198	1099
153	199	1097
154	200	1095
155	202	1093
156	203	1091
157	204	1089
158	205	1087
159	206	1085
160	207	1083
161	209	1081
162	210	1079
163	211	1078
164	213	1079
165	214	1080
166	216	1080
167	218	1080
168	219	1080
169	221	1079
170	222	1078
171	223	1077
172	224	1073
173	225	1072
174	227	1073
175	229	1073
176	230	1071
177	231	1069
178	232	1068
179	234	1066
180	235	1064
181	236	1063
182	237	1061
183	239	1060
184	240	1059
185	241	1058
186	243	1059
187	244	1057
188	246	1055
189	247	1053
190	248	1051
191	249	1049
192	250	1047
193	251	1045
194	252	1043
195	253	1040
196	254	1038
197	256	1038
198	257	1038
199	259	1036
200	260	1034
201	261	1032
202	262	1031
203	263	1029
204	264	1027
205	266	1025
206	267	1023
207	268	1022
208	269	1020
209	270	1018
210	272	1019
211	273	1018
212	275	1016
213	276	1014
214	277	1012
215	278	1011
216	279	1009
217	280	1007
218	281	1003
219	282	1002
220	283	1000
221	284	998
222	286	997
223	288	998
224	289	997
225	290	996
226	292	995
227	293	993
228	294	992
229	296	992
230	298	992
231	299	992
232	303	998
233	304	998
234	306	996
235	307	994
236	308	993
237	309	991
238	310	989
239	311	987
240	313	985
241	314	984
242	315	982
243	316	981
244	318	981
245	319	979
246	320	978
247	321	976
248	323	974
249	324	972
250	325	971
251	326	969
252	327	967
253	328	965
254	329	964
255	330	961
256	332	961
257	333	960
258	334	958
259	336	956
260	337	954
261	338	953
262	339	951
263	340	949
264	341	948
265	343	946
266	344	944
267	345	943
268	347	943
269	348	942
270	349	940
271	350	939
272	352	937
273	353	936
274	354	934
275	355	932
276	356	931
277	357	929
278	359	927
279	360	926
280	361	925
281	363	925
282	364	923
283	365	921
284	366	920
285	367	918
286	369	916
287	370	915
288	371	913
289	372	912
290	373	910
291	374	908
292	376	907
293	378	907
294	379	906
295	380	905
296	382	904
297	383	903
298	384	902
299	386	900
300	387	899
301	388	897
302	389	895
303	390	894
304	392	894
305	393	892
306	394	891
307	396	889
308	397	888
309	398	886
310	399	884
311	400	883
312	401	881
313	402	880
314	404	878
315	405	877
316	406	876
317	408	875
318	409	874
319	410	872
320	411	870
321	412	869
322	413	867
323	415	866
324	416	864
325	417	863
326	418	861
327	419	859
328	420	858
329	422	857
330	423	856
331	425	855
332	426	853
333	427	852
334	428	850
335	429	849
336	430	847
337	432	846
338	433	844
339	434	843
340	435	841
341	436	840
342	439	841
343	440	839
344	441	838
345	442	836
346	443	835
347	445	833
348	446	832
349	447	830
350	448	829
351	449	827
352	450	826
353	452	826
354	454	825
355	455	823
356	456	822
357	457	820
358	458	819
359	460	817
360	461	816
361	462	814
362	463	813
363	464	811
364	465	810
365	467	809
366	469	808
367	470	807
368	471	806
369	473	805
370	474	804
371	475	803
372	477	801
373	478	800
374	479	799
375	480	797
376	481	796
377	483	795
378	484	794
379	486	793
380	487	791
381	488	790
382	489	788
383	490	787
384	491	785
385	493	784
386	494	782
387	495	781
388	496	780
389	498	779
390	499	778
391	500	776
392	501	775
393	502	773
394	504	772
395	505	770
396	506	769
397	507	767
398	508	766
399	510	765
400	511	764
401	513	763
402	514	762
403	515	760
404	516	759
405	518	758
406	519	756
407	520	755
408	521	753
409	522	752
410	523	750
411	525	749
412	526	748
413	528	748
414	529	746
415	531	745
416	532	744
417	533	742
418	534	741
419	535	740
420	537	738
421	538	737
422	539	735
423	540	734
424	542	733
425	544	733
426	545	731
427	546	730
428	547	728
429	548	727
430	549	725
431	550	724
432	552	722
433	553	721
434	554	720
435	555	718
436	556	717
437	558	717
438	560	716
439	561	714
440	562	713
441	564	712
442	565	711
443	566	709
444	568	708
445	569	707
446	570	705
447	571	704
448	573	704
449	574	702
450	576	701
451	577	699
452	578	698
453	579	696
454	580	695
455	581	693
456	582	692
457	584	691
458	585	689
459	586	688
460	588	687
461	589	686
462	590	684
463	591	683
464	592	682
465	594	680
466	595	679
467	596	677
468	597	676
469	598	675
470	599	673
471	601	672
472	602	671
473	604	670
474	605	669
475	606	667
476	607	666
477	608	664
478	609	663
479	611	662
480	612	660
481	613	659
482	614	657
483	615	656
484	617	656
485	619	655
486	620	653
487	621	652
488	622	650
489	623	649
490	625	648
491	626	646
492	627	645
493	628	643
494	629	642
495	630	641
496	632	640
497	634	639
498	635	637
499	636	636
500	637	634
501	638	633
502	639	632
503	640	630
504	642	629
505	643	628
506	644	626
507	645	625
508	646	624
509	648	623
510	650	622
511	651	620
512	652	619
513	653	618
514	654	616
515	656	615
516	657	614
517	658	612
518	659	611
519	660	609
520	662	608
521	663	607
522	664	605
523	665	604
524	667	603
525	668	602
526	669	600
527	671	599
528	672	599
529	674	598
530	676	597
531	679	598
532	681	596
533	682	595
534	683	594
535	684	592
536	685	591
537	686	589
538	688	588
539	689	587
540	690	585
541	691	584
542	693	583
543	694	582
544	695	580
545	696	579
546	698	578
547	699	576
548	700	575
549	701	574
550	702	572
551	704	571
552	705	570
553	706	568
554	708	568
555	709	566
556	711	565
557	712	564
558	713	562
559	714	561
560	715	560
561	716	558
562	718	557
563	719	555
564	720	554
565	721	553
566	723	552
567	724	551
568	725	549
569	726	548
570	728	546
571	729	545
572	730	544
573	731	542
574	732	541
575	733	540
576	735	538
577	736	537
578	737	536
579	740	536
580	741	534
581	743	533
582	744	532
583	745	531
584	746	529
585	747	528
586	748	526
587	750	525
588	751	524
589	752	522
590	754	522
591	755	520
592	757	519
593	758	518
594	759	517
595	761	515
596	762	514
597	763	513
598	764	512
599	766	510
600	767	509
601	769	508
602	770	507
603	771	505
604	772	504
605	774	503
606	775	501
607	776	500
608	777	499
609	778	497
610	779	496
611	781	495
612	782	494
613	784	493
614	785	491
615	786	490
616	787	489
617	789	487
618	790	486
619	791	485
620	792	483
621	793	482
622	795	481
623	796	479
624	797	478
625	799	477
626	801	476
627	802	475
628	803	474
629	804	472
630	806	471
631	807	469
632	808	468
633	809	467
634	810	465
635	811	464
636	813	463
637	814	462
638	816	461
639	817	459
640	818	458
641	819	457
642	820	455
643	821	454
644	823	453
645	824	451
646	825	450
647	826	449
648	827	447
649	829	446
650	830	445
651	832	444
652	833	442
653	834	441
654	835	440
655	836	438
656	838	437
657	839	436
658	840	434
659	841	433
660	842	432
661	844	430
662	845	429
663	847	428
664	848	427
665	849	426
666	851	424
667	852	423
