iter	Passed	Remaining
0	154	154103
1	157	78663
2	161	53511
3	164	40971
4	167	33386
5	170	28320
6	174	24725
7	177	22014
8	180	19826
9	181	17964
10	182	16436
11	184	15166
12	185	14087
13	186	13159
14	188	12377
15	189	11682
16	191	11074
17	193	10533
18	194	10042
19	196	9605
20	197	9213
21	199	8860
22	200	8533
23	203	8256
24	204	7979
25	206	7725
26	210	7584
27	212	7377
28	220	7395
29	222	7203
30	224	7030
31	226	6850
32	227	6679
33	229	6517
34	230	6361
35	232	6217
36	233	6081
37	234	5949
38	236	5821
39	237	5701
40	238	5588
41	242	5527
42	243	5428
43	245	5331
44	248	5265
45	249	5175
46	250	5086
47	252	4999
48	253	4917
49	254	4840
50	256	4763
51	257	4694
52	259	4628
53	260	4563
54	262	4502
55	263	4441
56	264	4380
57	265	4319
58	267	4263
59	268	4208
60	270	4165
61	272	4117
62	273	4066
63	274	4016
64	275	3967
65	277	3920
66	278	3874
67	279	3830
68	280	3786
69	281	3743
70	282	3702
71	284	3663
72	285	3629
73	287	3595
74	288	3559
75	289	3522
76	290	3487
77	292	3452
78	293	3419
79	294	3387
80	295	3355
81	296	3324
82	297	3288
83	298	3260
84	300	3239
85	302	3213
86	303	3186
87	304	3159
88	306	3133
89	307	3106
90	308	3081
91	309	3055
92	310	3031
93	312	3007
94	313	2983
95	314	2964
96	316	2945
97	317	2924
98	318	2903
99	320	2882
100	321	2861
101	322	2840
102	323	2820
103	325	2800
104	326	2781
105	327	2762
106	328	2743
107	330	2728
108	332	2716
109	333	2699
110	334	2682
111	336	2665
112	337	2648
113	338	2631
114	339	2615
115	340	2598
116	341	2580
117	343	2564
118	344	2552
119	346	2539
120	347	2526
121	348	2509
122	349	2494
123	351	2480
124	352	2466
125	353	2453
126	354	2438
127	355	2425
128	357	2411
129	358	2398
130	360	2388
131	361	2377
132	363	2366
133	364	2354
134	365	2343
135	368	2339
136	370	2334
137	372	2329
138	377	2336
139	379	2329
140	381	2321
141	382	2309
142	383	2299
143	385	2289
144	386	2277
145	387	2266
146	388	2256
147	390	2247
148	391	2238
149	393	2229
150	394	2219
151	395	2209
152	397	2198
153	398	2188
154	399	2178
155	400	2168
156	401	2158
157	403	2148
158	404	2139
159	406	2133
160	407	2121
161	408	2112
162	409	2103
163	410	2094
164	412	2085
165	413	2078
166	415	2071
167	416	2063
168	418	2056
169	420	2051
170	421	2045
171	423	2038
172	424	2031
173	426	2024
174	427	2016
175	429	2008
176	430	2000
177	431	1992
178	432	1984
179	434	1978
180	436	1973
181	437	1966
182	438	1959
183	440	1951
184	441	1944
185	442	1936
186	443	1929
187	445	1922
188	446	1915
189	447	1908
190	448	1901
191	450	1895
192	452	1890
193	453	1883
194	454	1876
195	455	1869
196	456	1862
197	458	1855
198	459	1848
199	460	1842
200	461	1835
201	462	1828
202	464	1825
203	466	1820
204	467	1814
205	469	1807
206	470	1801
207	471	1795
208	472	1789
209	473	1782
210	475	1776
211	476	1770
212	477	1764
213	478	1758
214	480	1754
215	481	1749
216	483	1743
217	484	1737
218	485	1731
219	486	1725
220	487	1719
221	489	1714
222	490	1708
223	491	1703
224	493	1698
225	494	1694
226	496	1691
227	498	1689
228	500	1684
229	502	1681
230	504	1679
231	507	1679
232	509	1676
233	510	1672
234	512	1669
235	514	1665
236	515	1660
237	517	1655
238	518	1650
239	519	1646
240	521	1641
241	524	1643
242	526	1639
